Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,Ticker,Common Shares Outstanding,Tangible Common Equity (TBV)
"Unity Bancorp, Inc.",BHC-SP,2181426,Clinton,NJ,6/30/2025,"2,928,523",UNTY,"10,032,000",
Bank Of South Carolina Corporation,BHC-SP,2297701,Charleston,SC,6/30/2025,"580,735",BKSC,"5,422,475",
"1st Colonial Bancorp, Inc.",BHC-SP,3118513,Collingswood,NJ,6/30/2025,"877,064",FCOB,"4,798,342",
"Bank Of The James Financial Group, Inc.",BHC-SP,3217032,Lynchburg,VA,6/30/2025,"1,004,299",BOTJ,"4,543,338",
Merchants Bancorp,BHC-Y9C,3530786,Carmel,IN,6/30/2025,"19,141,204",MBIN,"45,885,458",
"Live Oak Bancshares, Inc.",BHC-Y9C,3884863,Wilmington,NC,6/30/2025,"13,831,208",LOB,"45,686,081",
"Paragon Financial Solutions, Inc",BHC-SP,4645324,Memphis,TN,6/30/2025,"864,936",PGNN,"4,523,501",
Baycom Corp,BHC-SP,5069897,Walnut Creek,CA,6/30/2025,"2,622,379",BCML,"10,941,232",
Seneca Financial Corp,BHC-SP,5125391,Baldwinsville,NY,6/30/2025,"299,060",SNNF,"1,838,278",
Fifth Third Bancorp,BHC-Y9C,1070345,Cincinnati,OH,6/30/2025,"209,991,000",FITB,"667,710,000",
Peoples Bancorp Inc.,BHC-Y9C,1070578,Marietta,OH,6/30/2025,"9,540,608",PEBO,"35,673,721",
First Farmers And Merchants Corporation,BHC-SP,1083783,Columbia,TN,6/30/2025,"1,745,297",FFMH,"3,997,309",
FB Financial Corporation,BHC-Y9C,1132104,Nashville,TN,6/30/2025,"13,354,238",FBK,"45,807,689",
Independent Bank Corp.,BHC-Y9C,1136803,Rockland,MA,6/30/2025,"20,055,242",INDB,"42,627,286",
"Mifflinburg Bancorp, Inc.",BHC-SP,1137042,Mifflinburg,PA,6/30/2025,"629,239",MIFF,"1,858,536",
Citizens & Northern Corporation,BHC-SP,1143623,Wellsboro,PA,6/30/2025,"2,610,875",CZNC,"15,514,943",
Independent Bank Corporation,BHC-Y9C,1201925,Grand Rapids,MI,6/30/2025,"5,418,519",IBCP,"20,715,650",
Oxford Bank Corporation,BHC-SP,1249383,Oxford,MI,6/30/2025,"859,505",OXBC,"2,474,361",
Bok Financial Corporation,BHC-Y9C,1883693,Tulsa,OK,6/30/2025,"51,201,417",BOKF,"63,611,097",
"Glacier Bancorp, Inc.",BHC-Y9C,2003975,Kalispell,MT,6/30/2025,"29,004,983",GBCI,"118,550,475",
C&F Financial Corporation,BHC-SP,2183493,Toano,VA,6/30/2025,"2,686,392",CFFI,"3,238,085",
"First Capital, Inc",BHC-SP,2867458,Corydon,IN,6/30/2025,"1,242,687",FCAP,"3,355,353",
"Pacific Premier Bancorp, Inc.",BHC-Y9C,3489594,Irvine,CA,6/30/2025,"17,783,172",PPBI,"97,019,910",
"Eagle Bancorp Montana, Inc.",BHC-SP,4126609,Helena,MT,6/30/2025,"2,137,633",EBMT,"7,952,177",
Versailles Financial Corporation,BHC-SP,4151544,Versailles,OH,6/30/2025,"61,590",VERF,"314,997",
Century Next Financial Corporation,BHC-SP,4211831,Ruston,LA,6/30/2025,"923,624",CTUY,"1,852,129",
"Third Coast Bancshares, Inc.",BHC-Y9C,4475473,Humble,TX,6/30/2025,"4,943,771",TCBX,"13,851,581",
"Waterstone Financial, Inc.",BHC-Y9C,4523431,Wauwatosa,WI,6/30/2025,"2,256,415",WSBF,"18,776,000",
"Mainstreet Bancshares, Inc.",BHC-SP,4977397,Fairfax,VA,6/30/2025,"2,112,868",MNSB,"7,704,037",
Us Metro Bancorp,BHC-SP,5397219,Garden Grove,CA,6/30/2025,"1,453,986",USMT,"16,520,000",
"Bankflorida Bancorp, Inc.",BHC-SP,5579604,Dade City,FL,6/30/2025,"407,550",BKFL,"3,180,332",
American Riviera Bancorp,BHC-SP,5687282,Santa Barbara,CA,6/30/2025,"1,300,445",ARBV,"5,810,042",
First Resource Bancorp Inc,BHC-SP,5690134,Exton,PA,6/30/2025,"697,261",FRSB,"3,000,028",
Ecb Bancorp Inc,BHC-SP,5723621,Everett,MA,6/30/2025,"1,515,014",ECBK,"8,946,958",
"First National Of Nebraska, Inc.",BHC-Y9C,1020902,Omaha,NE,6/30/2025,"31,842,439",FINN,"269,820",
Farmers National Banc Corp.,BHC-Y9C,1071191,Canfield,OH,6/30/2025,"5,184,192",FMNB,"37,447,000",
"Southern Bancshares (N.C.), Inc.",BHC-Y9C,1075694,Mount Olive,NC,6/30/2025,"5,288,636",SBNC,"75,337",
"Bank Of Southside Virginia Corporation, The",BHC-SP,1076105,Carson,VA,6/30/2025,"663,333",BSSC,"503,000",
First National Corporation,BHC-SP,1076123,Strasburg,VA,6/30/2025,"2,041,441",FXNC,"8,989,138",
F & M Bank Corp.,BHC-SP,1076495,Timberville,VA,6/30/2025,"1,311,924",FMBM,"3,567,056",
Ameris Bancorp,BHC-Y9C,1082067,Atlanta,GA,6/30/2025,"26,683,993",ABCB,"68,711,043",
"First Us Bancshares, Inc.",BHC-SP,1086168,Birmingham,AL,6/30/2025,"1,143,379",FUSB,"5,755,064",
Simmons First National Corporation,BHC-Y9C,1094828,Pine Bluff,AR,6/30/2025,"26,693,665",SFNC,"125,996,248",
"Republic Bancorp, Inc.",BHC-Y9C,1097025,Louisville,KY,6/30/2025,"6,970,918",RBCAA,"19,527,000",
"Cass Information Systems, Inc.",BHC-Y9C,1098648,Des Peres,MO,6/30/2025,"2,316,018",CASS,"13,279,905",
"Cullen/ Frost Bankers, Inc.",BHC-Y9C,1102367,San Antonio,TX,6/30/2025,"51,458,743",CFR,"64,319,000",
Juniata Valley Financial Corp.,BHC-SP,1117512,Mifflintown,PA,6/30/2025,"866,434",JUVF,"5,018,799",
First United Corporation,BHC-Y9C,1132672,Oakland,MD,6/30/2025,"2,007,471",FUNC,"6,494,611",
Canandaigua National Corporation,BHC-Y9C,1133503,Canandaigua,NY,6/30/2025,"5,189,941",CNND,"1,825,829",
Chemung Financial Corporation,BHC-Y9C,1133594,Elmira,NY,6/30/2025,"2,852,554",CHMG,"4,810,000",
"United Bancshares, Inc.",BHC-SP,1136009,Columbus Grove,OH,6/30/2025,"1,198,139",UBOH,"2,960,129",
"New Tripoli Bancorp, Inc.",BHC-SP,1138106,New Tripoli,PA,6/30/2025,"659,990",NTBP,"63,093",
Baker Boyer Bancorp,BHC-SP,1141870,Walla Walla,WA,6/30/2025,"679,878",BBBK,"1,315,711",
"Stock Yards Bancorp, Inc.",BHC-Y9C,1249730,Louisville,KY,6/30/2025,"9,208,986",SYBT,"29,473,000",
Harbor Bankshares Corporation,BHC-SP,2008130,Baltimore,MD,6/30/2025,"398,445",HRBK,"1,235,869",
"South Plains Financial, Inc.",BHC-Y9C,2033226,Lubbock,TX,6/30/2025,"4,363,674",SPFI,"16,230,475",
"Farmers And Merchants Bancshares, Inc.",BHC-SP,2178631,Burlington,IA,6/30/2025,"213,814",FMBN,"276,356",
Tompkins Financial Corporation,BHC-Y9C,2367921,Ithaca,NY,6/30/2025,"8,373,818",TMP,"14,430,985",
Flushing Financial Corporation,BHC-Y9C,2393274,Uniondale,NY,6/30/2025,"8,776,524",FFIC,"33,777,000",
Ofg Bancorp,BHC-Y9C,2490575,San Juan,PR,6/30/2025,"12,231,510",OFG,"44,742,000",
"Great American Bancorp, Inc.",BHC-SP,2507642,Champaign,IL,6/30/2025,"190,044",GTPS,"359,686",
Citizens Bancorp,BHC-SP,2519038,Corvallis,OR,6/30/2025,"832,786",CZBC,"5,591,613",
"Brookline Bancorp, Inc.",BHC-Y9C,2631510,Boston,MA,6/30/2025,"11,570,564",BRKL,"89,104,605",
"Greene County Bancorp, Inc.",BHC-SP,2728607,Catskill,NY,6/30/2025,"3,040,609",GCBC,"17,026,828",
Metropolitan Bank Holding Corp.,BHC-Y9C,2820211,New York,NY,6/30/2025,"7,853,849",MCB,"10,421,384",
"Southern First Bancshares, Inc.",BHC-Y9C,2849799,Greenville,SC,6/30/2025,"4,310,211",SFST,"8,181,000",
"Fidelity D&d Bancorp, Inc.",BHC-SP,2858773,Dunmore,PA,6/30/2025,"2,698,659",FDBC,"5,767,490",
"Mcnb Banks, Inc.",BHC-SP,2913083,Welch,WV,6/30/2025,"359,497",MKIN,"1,079,731",
Woodlands Financial Services Company,BHC-SP,3014950,Williamsport,PA,6/30/2025,"617,802",WDFN,"1,396,757",
Oregon Pacific Bancorp,BHC-SP,3152423,Florence,OR,6/30/2025,"805,263",ORPB,"7,164,144",
"Bcb Bancorp, Inc.",BHC-Y9C,3170539,Bayonne,NJ,6/30/2025,"3,380,461",BCBP,"17,194,000",
Mnb Holdings Corporation,BHC-SP,3195297,San Francisco,CA,6/30/2025,"244,746",MNBO,"456,788",
Regions Financial Corporation,BHC-Y9C,3242838,Birmingham,AL,6/30/2025,"159,244,000",RF,"894,000,000",
"Cb Financial Services, Inc.",BHC-SP,3333718,Carmichaels,PA,6/30/2025,"1,517,984",CBFV,"4,972,300",
Chino Commercial Bancorp,BHC-SP,3441275,Chino,CA,6/30/2025,"481,979",CCBC,"3,211,970",
"Bankwell Financial Group, Inc.",BHC-Y9C,3553815,New Canaan,CT,6/30/2025,"3,236,593",BWFG,"7,873,387",
"Avidbank Holdings, Inc.",BHC-SP,3680980,San Jose,CA,6/30/2025,"2,392,129",AVBH,"10,541,446",
"Homestreet, Inc.",BHC-Y9C,3843507,Seattle,WA,6/30/2025,"7,609,323",HMST,"18,920,808",
"Home Bancorp, Inc.",BHC-Y9C,3851191,Lafayette,LA,6/30/2025,"3,491,455",HBCP,"7,808,421",
"FS Bancorp, Inc.",BHC-SP,4347208,Mountlake Terrace,WA,6/30/2025,"3,176,013",FSBW,"7,515,480",
"Harborone Bancorp, Inc.",BHC-Y9C,4973353,Brockton,MA,6/30/2025,"5,611,851",HONE,"43,075,033",
"Mountain Pacific Bancorp, Inc.",BHC-SP,5217483,Everett,WA,6/30/2025,"820,172",MPCB,"6,899,326",
Amalgamated Financial Corp,BHC-Y9C,5559343,New York,NY,6/30/2025,"8,625,105",AMAL,"30,412,000",
"National Capital Bancorp, Inc.",BHC-SP,5581607,Washington,DC,6/30/2025,"702,597",NACB,"1,150,870",
"Freedom Financial Holdings, Inc.",BHC-SP,5624205,Fairfax,VA,6/30/2025,"1,072,082",FDVA,"7,002,103",
"Central Plains Bancshares, Inc.",BHC-SP,5860179,Grand Island,NE,6/30/2025,"84,646",CPBI,"4,223,278",
"Winchester Bancorp, Inc.",BHC-SP,6007421,Winchester,MA,6/30/2025,"949,378",WSBK,"9,295,376",
"Financial Institutions, Inc.",BHC-Y9C,1032464,Warsaw,NY,6/30/2025,"6,143,766",FISI,"20,128,000",
M&T Bank Corporation,BHC-Y9C,1037003,Buffalo,NY,6/30/2025,"211,584,112",MTB,"156,532,000",
J.P. Morgan Chase & Co.,BHC-Y9C,1039502,New York,NY,6/30/2025,"4,552,482,000",JPM,"2,749,700,000",
Valley National Bancorp,BHC-Y9C,1048773,New York,NY,6/30/2025,"62,705,358",VLY,"560,281,821",
UMB Financial Corporation,BHC-Y9C,1049828,Kansas City,MO,6/30/2025,"71,760,153",UMBF,"75,927,002",
Keycorp,BHC-Y9C,1068025,Cleveland,OH,6/30/2025,"185,511,602",KEY,"1,112,453,000",
Huntington Bancshares Incorporated,BHC-Y9C,1068191,Columbus,OH,6/30/2025,"207,742,608",HBAN,"1,458,800,042",
"PNC Financial Services Group, Inc., The",BHC-Y9C,1069778,Pittsburgh,PA,6/30/2025,"559,113,333",PNC,"393,985,775",
"Community Trust Bancorp, Inc.",BHC-Y9C,1070644,Pikeville,KY,6/30/2025,"6,390,938",CTBI,"18,105,000",
Bank Of America Corporation,BHC-Y9C,1073757,Charlotte,NC,6/30/2025,"3,441,142,000",BAC,"7,436,679,485",
Truist Financial Corporation,BHC-Y9C,1074156,Charlotte,NC,6/30/2025,"543,833,000",TFC,"1,289,435,000",
"Chesapeake Financial Shares, Inc.",BHC-Y9C,1075881,Kilmarnock,VA,6/30/2025,"1,634,659",CPKF,"4,692,022",
"United Bankshares, Inc.",BHC-Y9C,1076217,Charleston,WV,6/30/2025,"32,783,363",UBSI,"141,909,452",
"Colony Bankcorp, Inc.",BHC-Y9C,1085170,Fitzgerald,GA,6/30/2025,"3,115,617",CBAN,"17,416,702",
Hancock Whitney Corporation,BHC-Y9C,1086533,Gulfport,MS,6/30/2025,"35,231,785",HWC,"85,351,000",
First Horizon Corporation,BHC-Y9C,1094640,Memphis,TN,6/30/2025,"82,085,545",FHN,"509,000,000",
"German American Bancorp, Inc.",BHC-Y9C,1098620,Jasper,IN,6/30/2025,"8,280,142",GABC,"37,492,814",
"First Citizens Bancshares, Inc.",BHC-SP,1098796,Dyersburg,TN,6/30/2025,"2,544,090",FIZN,"3,708,301",
Renasant Corporation,BHC-Y9C,1098844,Tupelo,MS,6/30/2025,"26,624,975",RNST,"95,019,311",
State Street Corporation,BHC-Y9C,1111435,Boston,MA,6/30/2025,"376,717,000",STT,"285,561,974",
"Washington Trust Bancorp, Inc.",BHC-Y9C,1115349,Westerly,RI,6/30/2025,"6,748,089",WASH,"19,283,000",
Bar Harbor Bankshares,BHC-Y9C,1115385,Bar Harbor,ME,6/30/2025,"4,112,003",BHB,"15,322,000",
Acnb Corporation,BHC-Y9C,1117464,Gettysburg,PA,6/30/2025,"3,259,528",ACNB,"10,478,149",
"Citizens Financial Services, Inc.",BHC-SP,1118368,Mansfield,PA,6/30/2025,"2,967,274",CZFS,"4,807,000",
U.S. Bancorp,BHC-Y9C,1119794,Minneapolis,MN,6/30/2025,"686,370,000",USB,"1,558,000,000",
"First Interstate Bancsystem, Inc.",BHC-Y9C,1123670,Billings,MT,6/30/2025,"27,566,430",FIBK,"104,874,000",
"Auburn National Bancorporation, Inc.",BHC-SP,1129533,Auburn,AL,6/30/2025,"1,029,224",AUBN,"3,493,699",
"Smartfinancial, Inc.",BHC-Y9C,1131497,Knoxville,TN,6/30/2025,"5,490,863",SMBK,"17,017,547",
Southstate Corporation,BHC-Y9C,1133437,Winter Haven,FL,6/30/2025,"65,893,322",SSB,"101,498,000",
"ChoiceOne Financial Services, Inc.",BHC-Y9C,1139297,Sparta,MI,6/30/2025,"4,310,252",COFS,"15,008,864",
Northern Trust Corporation,BHC-Y9C,1199611,Chicago,IL,6/30/2025,"171,883,619",NTRS,"191,233,000",
Comerica Incorporated,BHC-Y9C,1199844,Dallas,TX,6/30/2025,"78,190,000",CMA,"129,676,758",
First Busey Corporation,BHC-Y9C,1203602,Leawood,KS,6/30/2025,"18,918,740",BUSE,"89,104,678",
"Byline Bancorp, Inc.",BHC-Y9C,1204627,Chicago,IL,6/30/2025,"9,720,218",BY,"45,866,649",
West Shore Bank Corporation,BHC-SP,1206667,Ludington,MI,6/30/2025,"789,716",WSSH,"1,232,265",
Hills Bancorporation,BHC-Y9C,1245291,Hills,IA,6/30/2025,"4,605,010",HBIA,"8,874,490",
"Cnb Bank Shares, Inc.",BHC-SP,1245460,Carlinville,IL,6/30/2025,"1,797,000",CNBN,"5,428,907",
"United Community Banks, Inc.",BHC-Y9C,1249347,Greenville,SC,6/30/2025,"28,096,381",UCB,"121,431,262",
"Blue Ridge Bankshares, Inc.",BHC-Y9C,1426960,Richmond,VA,6/30/2025,"2,555,439",BRBS,"92,174,530",
Eastern Bankshares Inc,BHC-Y9C,1427239,Boston,MA,6/30/2025,"25,462,412",EBC,"211,500,000",
"Bank Of Labor Bancshares, Inc.",BHC-SP,1471960,Overland Park,KS,6/30/2025,"1,074,290",BHDB,"343,572",
"Origin Bancorp, Inc.",BHC-Y9C,1885307,Ruston,LA,6/30/2025,"9,678,158",OBK,"31,224,718",
"Mid Penn Bancorp, Inc.",BHC-Y9C,1944204,Harrisburg,PA,6/30/2025,"6,354,543",MPB,"22,915,194",
"Susquehanna Community Financial, Inc",BHC-SP,1985216,West Milton,PA,6/30/2025,"593,059",SQCF,"2,841,314",
"QCR Holdings, Inc.",BHC-Y9C,2125813,Moline,IL,6/30/2025,"9,242,331",QCRH,"16,934,698",
Heritage Financial Corporation,BHC-Y9C,2166124,Olympia,WA,6/30/2025,"7,070,641",HFWA,"33,953,194",
Capital One Financial Corporation,BHC-Y9C,2277860,Mclean,VA,6/30/2025,"658,968,289",COF,"639,500,000",
"Consumers Bancorp, Inc.",BHC-SP,2286228,Minerva,OH,6/30/2025,"1,164,656",CBKM,"3,144,775",
"Thomasville Bancshares, Inc",BHC-SP,2346010,Thomasville,GA,6/30/2025,"1,927,915",THVB,"6,323,682",
CBC Holding Company,BHC-SP,2530118,Fitzgerald,GA,6/30/2025,"283,098",CBHC,"579,000",
Oceanfirst Financial Corp.,BHC-Y9C,2609975,Toms River,NJ,6/30/2025,"13,335,244",OCFC,"57,383,975",
Peapack-gladstone Financial Corporation,BHC-Y9C,2651590,Bedminster,NJ,6/30/2025,"7,200,673",PGC,"17,636,264",
"Eagle Bancorp, Inc.",BHC-Y9C,2652104,Bethesda,MD,6/30/2025,"10,601,342",EGBN,"30,364,983",
Lcnb Corp.,BHC-SP,2759900,Lebanon,OH,6/30/2025,"2,307,800",LCNB,"14,175,241",
"Community Capital Bancshares, Inc.",BHC-SP,2775142,Albany,GA,6/30/2025,"258,095",ALBY,"1,297,720",
Farmers & Merchants Bancorp,BHC-Y9C,2781910,Lodi,CA,6/30/2025,"5,479,960",FMCB,"725,367",
"Inscorp, Inc.",BHC-SP,2877336,Nashville,TN,6/30/2025,"947,374",IBTN,"2,966,628",
BayFirst Financial Corp.,BHC-SP,2881650,Saint Petersburg,FL,6/30/2025,"1,344,867",BAFN,"4,134,127",
F.N.B. Corporation,BHC-Y9C,3005332,Pittsburgh,PA,6/30/2025,"49,784,821",FNB,"359,123,010",
"Northrim Bancorp, Inc.",BHC-SP,3025385,Anchorage,AK,6/30/2025,"3,243,760",NRIM,"5,522,271",
"Northfield Bancorp, Inc.",BHC-Y9C,3132863,Woodbridge,NJ,6/30/2025,"5,679,291",NFBK,"41,819,988",
"Equity Bancshares, Inc.",BHC-Y9C,3180547,Wichita,KS,6/30/2025,"5,376,901",EQBK,"17,535,989",
Triumph Financial Inc.,BHC-Y9C,3233126,Dallas,TX,6/30/2025,"6,494,748",TFIN,"23,727,046",
"Rhinebeck Bancorp, Mhc",BHC-SP,3271230,Poughkeepsie,NY,6/30/2025,"1,274,249",RBKB,"11,105,330",
"Parke Bancorp, Inc",BHC-SP,3347292,Sewell,NJ,6/30/2025,"2,170,332",PKBK,"11,843,328",
"Bridgewater Bancshares, Inc.",BHC-Y9C,3378764,Saint Louis Park,MN,6/30/2025,"5,296,673",BWB,"27,470,283",
First Internet Bancorp,BHC-Y9C,3393178,Fishers,IN,6/30/2025,"6,072,574",INBK,"8,713,094",
"Bank Of New York Mellon Corporation, The",BHC-Y9C,3587146,New York,NY,6/30/2025,"485,790,000",BK,"705,241,000",
"First Guaranty Bancshares, Inc.",BHC-Y9C,3589560,Hammond,LA,6/30/2025,"3,969,581",FGBI,"15,120,172",
Tfs Financial Corporation,BHC-Y9C,3828045,Cleveland,OH,6/30/2025,,TFSL,"280,779,576",
CF Bankshares Inc.,BHC-SP,3828577,Columbus,OH,6/30/2025,"2,133,537",CFBK,"6,447,692",
"Security Bancorp, Inc.",BHC-SP,3842069,Mcminnville,TN,6/30/2025,"384,132",SCYT,"378,098",
"Mutual Federal Bancorp, Inc",BHC-SP,3850130,Chicago,IL,6/30/2025,"97,485",MFDB,"3,636,875",
Prime Meridian Holding Company,BHC-SP,4167974,Tallahassee,FL,6/30/2025,"993,231",PMHG,"3,369,504",
"Capitol Federal Financial, Inc.",BHC-Y9C,4226910,Topeka,KS,6/30/2025,"9,704,693",CFFN,"132,800,865",
Bankguam Holding Company,BHC-SP,4272869,Hagatna,GU,6/30/2025,"2,704,805",BKGM,"18,214",
"Hanover Bancorp, Inc.",BHC-SP,5010134,Mineola,NY,6/30/2025,"2,311,976",HNVR,"7,499,243",
Linkbancorp,BHC-SP,5272361,Camp Hill,PA,6/30/2025,"2,886,554",LNKB,"37,441,879",
"Golden Valley Bancshares, Inc.",BHC-SP,5475890,Chico,CA,6/30/2025,"579,930",GVYB,"2,213,982",
CW Bancorp,BHC-SP,5538197,Irvine,CA,6/30/2025,"1,181,685",CWBK,"2,971,252",
"Texas Community Bancshares, Inc.",BHC-SP,5586862,Mineola,TX,6/30/2025,"444,082",TCBS,"2,999,743",
First Pacific Bancorp,BHC-SP,5609453,Whittier,CA,6/30/2025,"477,679",FPBC,"4,335,678",
Cfsb Bancorp Inc,BHC-SP,5651452,Quincy,MA,6/30/2025,"366,927",CFSB,"6,548,575",
Central Pacific Financial Corp.,BHC-Y9C,1022764,Honolulu,HI,6/30/2025,"7,369,567",CPF,"26,981,436",
Bank Of Hawaii Corporation,BHC-Y9C,1025309,Honolulu,HI,6/30/2025,"23,709,752",BOH,"39,765,375",
Westamerica Bancorporation,BHC-Y9C,1025541,San Rafael,CA,6/30/2025,"5,834,144",WABC,"25,587,000",
"First Hawaiian, Inc.",BHC-Y9C,1025608,Honolulu,HI,6/30/2025,"23,837,147",FHB,"124,683,544",
"Charles Schwab Corporation, The",BHC-Y9C,1026632,Westlake,TX,6/30/2025,"458,936,000",SCHW,"-259,743,035",
Cvb Financial Corp.,BHC-Y9C,1029222,Ontario,CA,6/30/2025,"15,414,130",CVBF,"137,825,465",
W.T.B. Financial Corporation,BHC-Y9C,1029464,Spokane,WA,6/30/2025,"10,684,981",WTBFA,"2,484,768",
Trustco Bank Corp Ny,BHC-Y9C,1048513,Glenville,NY,6/30/2025,"6,348,375",TRST,"18,851,000",
"Ballston Spa Bancorp, Inc.",BHC-SP,1048728,Ballston Spa,NY,6/30/2025,"912,607",BSPA,"768,000",
Arrow Financial Corporation,BHC-Y9C,1048812,Glens Falls,NY,6/30/2025,"4,414,719",AROW,"16,483,726",
"Community Financial System, Inc.",BHC-Y9C,1048867,Dewitt,NY,6/30/2025,"16,665,018",CBU,"52,869,000",
FirstSun Capital Bancorp,BHC-Y9C,1066713,Denver,CO,6/30/2025,"8,435,861",FSUN,"27,834,525",
"Wesbanco, Inc.",BHC-Y9C,1070448,Wheeling,WV,6/30/2025,"27,573,541",WSBC,"95,986,023",
First Financial Bancorp,BHC-Y9C,1071276,Cincinnati,OH,6/30/2025,"18,634,255",FFBC,"95,760,617",
"S&t Bancorp, Inc.",BHC-Y9C,1071397,Indiana,PA,6/30/2025,"9,810,069",STBA,"38,345,448",
"First Citizens Bancshares, Inc.",BHC-Y9C,1075612,Raleigh,NC,6/30/2025,"229,653,000",FCNCA,"13,075,979",
City Holding Company,BHC-Y9C,1076262,Charleston,WV,6/30/2025,"6,597,802",CHCO,"14,495,000",
"Pioneer Bankshares, Inc.",BHC-SP,1076422,Stanley,VA,6/30/2025,"338,099",PNBI,"1,001,675",
Trustmark Corporation,BHC-Y9C,1079562,Jackson,MS,6/30/2025,"18,615,659",TRMK,"60,401,684",
Seacoast Banking Corporation Of Florida,BHC-Y9C,1085013,Stuart,FL,6/30/2025,"15,944,955",SBCF,"85,948,000",
"Capital City Bank Group, Inc.",BHC-Y9C,1085509,Tallahassee,FL,6/30/2025,"4,391,753",CCBG,"17,066,000",
International Bancshares Corporation,BHC-Y9C,1104231,Laredo,TX,6/30/2025,"16,462,314",IBOC,"62,150,689",
"Prosperity Bancshares, Inc.",BHC-Y9C,1109599,Houston,TX,6/30/2025,"38,440,948",PB,"95,277,000",
Fulton Financial Corporation,BHC-Y9C,1117129,Lancaster,PA,6/30/2025,"31,959,742",FULT,"182,379,000",
"Boyle Bancorp, Inc.",BHC-SP,1119244,Danville,KY,6/30/2025,"986,616",BYLB,"858,218",
"Popular, Inc.",BHC-Y9C,1129382,San Juan,PR,6/30/2025,"76,065,000",BPOP,"67,937,468",
Camden National Corporation,BHC-Y9C,1130249,Camden,ME,6/30/2025,"6,920,044",CAC,"16,919,689",
Nbt Bancorp Inc.,BHC-Y9C,1139279,Norwich,NY,6/30/2025,"16,014,781",NBTB,"52,377,287",
Peoples Financial Services Corp.,BHC-Y9C,1139541,Dunmore,PA,6/30/2025,"5,107,879",PFIS,"9,994,696",
"Citizens Bancorp Investment, Inc.",BHC-Y9C,1140239,Lafayette,TN,6/30/2025,"1,715,479",CBTN,"5,902,363",
1st Source Corporation,BHC-Y9C,1199602,South Bend,IN,6/30/2025,"9,087,969",SRCE,"24,530,796",
Tri City Bankshares Corporation,BHC-SP,1203974,Oak Creek,WI,6/30/2025,"1,850,398",TRCY,"8,904,915",
"Old Second Bancorp, Inc.",BHC-Y9C,1206911,Aurora,IL,6/30/2025,"5,701,294",OSBC,"45,056,183",
Marquette National Corporation,BHC-SP,1207486,Chicago,IL,6/30/2025,"2,229,653",MNAT,"4,366,911",
"Horizon Bancorp, Inc.",BHC-Y9C,1209136,Michigan City,IN,6/30/2025,"7,652,051",HBNC,"43,801,507",
"Farmers Bancorp Frankfort Indiana, The",BHC-SP,1209538,Frankfort,IN,6/30/2025,"1,102,492",FABP,"1,844,075",
"First Business Financial Services, Inc.",BHC-Y9C,1247428,Madison,WI,6/30/2025,"4,004,685",FBIZ,"8,323,470",
"Orrstown Financial Services, Inc.",BHC-Y9C,1248153,Harrisburg,PA,6/30/2025,"5,387,645",ORRF,"19,535,835",
First Farmers Financial Corporation,BHC-Y9C,1249039,Converse,IN,6/30/2025,"3,323,492",FFMR,"6,993,134",
UNB Corp,BHC-SP,1249945,Mount Carmel,PA,6/30/2025,"170,071",UNPA,"57,242",
"Dime Community Bancshares, Inc.",BHC-Y9C,1416523,Hauppauge,NY,6/30/2025,"14,206,318",DCOM,"43,889,000",
Keweenaw Financial Corporation,BHC-SP,1495854,Hancock,MI,6/30/2025,"1,000,068",KEFI,"1,157,467",
"University Bancorp, Inc.",BHC-Y9C,1496253,Ann Arbor,MI,6/30/2025,"1,131,357",UNIB,"5,169,518",
Ally Financial Inc.,BHC-Y9C,1562859,Detroit,MI,6/30/2025,"189,473,000",ALLY,"307,787,000",
Citigroup Inc.,BHC-Y9C,1951350,New York,NY,6/30/2025,"2,622,772,000",C,"1,840,900,000",
"Eagle Financial Services, Inc.",BHC-SP,1951770,Berryville,VA,6/30/2025,"2,035,080",EFSI,"5,376,346",
"Csb Bancorp, Inc.",BHC-SP,1967865,Millersburg,OH,6/30/2025,"1,237,969",CSBB,"2,638,921",
Atlantic Union Bankshares Corporation,BHC-Y9C,1971693,Glen Allen,VA,6/30/2025,"37,289,994",AUB,"141,694,720",
"Denali Bancorporation, Inc.",BHC-SP,1989241,Fairbanks,AK,6/30/2025,"535,057",DENI,"2,898,356",
"Columbia Banking System, Inc.",BHC-Y9C,2078816,Tacoma,WA,6/30/2025,"51,901,442",COLB,"210,213,000",
"Flagstar Financial, Inc.",BHC-Y9C,2132932,Hicksville,NY,6/30/2025,"92,236,627",FLG,"415,353,394",
Finward Bancorp,BHC-SP,2237118,Munster,IN,6/30/2025,"2,057,911",FNWD,"4,324,889",
Wintrust Financial Corporation,BHC-Y9C,2260406,Rosemont,IL,6/30/2025,"68,983,318",WTFC,"66,937,732",
Enterprise Financial Services Corp,BHC-Y9C,2303910,Clayton,MO,6/30/2025,"16,076,299",EFSC,"36,950,000",
"Berkshire Hills Bancorp, Inc",BHC-Y9C,2333663,Boston,MA,6/30/2025,"12,035,611",BHLB,"46,303,000",
Western Alliance Bancorporation,BHC-Y9C,2349815,Phoenix,AZ,6/30/2025,"86,724,794",WAL,"110,400,000",
"Pathward Financial, Inc.",BHC-Y9C,2390013,Sioux Falls,SD,6/30/2025,"7,229,632",CASH,"22,953,608",
